순위,종목코드,종목명,시가총액(억원),종가(원)
1,005930,삼성전자,11253231,190100
2,000660,SK하이닉스,6908742,949000
3,005935,삼성전자우,1102381,135100
4,005380,현대차,1042217,509000
5,373220,LG에너지솔루션,939510,401500
6,207940,삼성바이오로직스,803610,1736000
7,402340,SK스퀘어,766105,580000
8,000270,기아,670729,171800
9,034020,두산에너빌리티,662980,103500
10,012450,한화에어로스페이스,640417,1242000
11,329180,HD현대중공업,631866,602000
12,105560,KB금융,629371,168800
13,028260,삼성물산,562622,331000
14,068270,셀트리온,559136,242000
15,055550,신한지주,495204,102000
16,042660,한화오션,459313,149900
17,032830,삼성생명,438000,219000
18,015760,한국전력,404437,63000
19,006800,미래에셋증권,402063,70900
20,012330,현대모비스,401945,443000
21,035420,NAVER,399189,254500
22,086790,하나금융지주,365441,131300
23,267260,HD현대일렉트릭,364436,1011000
24,010130,고려아연,347117,1663000
25,006400,삼성SDI,323953,402000
26,009540,HD한국조선해양,319894,452000
27,005490,POSCO홀딩스,318875,394000
28,316140,우리금융지주,299503,40800
29,000810,삼성화재,284348,618000
30,009150,삼성전기,281595,377000
31,034730,SK,276597,381500
32,010140,삼성중공업,259600,29500
33,035720,카카오,256268,57900
34,138040,메리츠금융지주,256174,146200
35,298040,효성중공업,245515,2633000
36,064350,현대로템,240113,220000
37,051910,LG화학,237896,337000
38,267250,HD현대,230659,292000
39,024110,기업은행,227665,28550
40,272210,한화시스템,220091,116500
41,011200,HMM,218359,23150
42,096770,SK이노베이션,215711,127600
43,033780,KT&G,208936,177100
44,010120,LS ELECTRIC,207300,691000
45,003670,포스코퓨처엠,207244,233000
46,086280,현대글로비스,202500,270000
47,066570,LG전자,201327,123600
48,042700,한미반도체,191100,200500
49,030200,KT,173642,68900
50,017670,SK텔레콤,173550,80800
51,047810,한국항공우주,173408,177900
52,352820,하이브,171512,398500
53,000150,두산,169549,1047000
54,071050,한국금융지주,162998,292500
55,0126Z0,삼성에피스홀딩스,152533,613000
56,003550,LG,151908,98500
57,000720,현대건설,142869,128300
58,005940,NH투자증권,139686,39200
59,323410,카카오뱅크,136902,28700
60,010950,S-Oil,135099,120000
61,039490,키움증권,134340,495500
62,005830,DB손해보험,133425,192300
63,018260,삼성에스디에스,133321,172300
64,047050,포스코인터내셔널,132469,75300
65,259960,크래프톤,123486,260500
66,307950,현대오토에버,119020,434000
67,278470,에이피알,107994,288500
68,079550,LIG넥스원,107030,486500
69,016360,삼성증권,102248,114500
70,180640,한진칼,99008,148300
71,005387,현대차2우B,97899,280000
72,000880,한화,95047,126800
73,161390,한국타이어앤테크놀로지,93649,75600
74,003490,대한항공,92607,25150
75,090430,아모레퍼시픽,91248,156000
76,009830,한화솔루션,91103,53000
77,377300,카카오페이,91091,67400
78,000100,유한양행,89046,111800
79,003230,삼양식품,87684,1164000
80,326030,SK바이오팜,87554,111800
81,006260,LS,80993,255500
82,443060,HD현대마린솔루션,79485,177300
83,128940,한미약품,78147,610000
84,029780,삼성카드,78088,67400
85,032640,LG유플러스,75219,17500
86,007660,이수페타시스,73776,100500
87,175330,JB금융지주,71206,37500
88,078930,GS,70336,75700
89,138930,BNK금융지주,70289,22650
90,028050,삼성E&A,69776,35600
91,267270,HD건설기계,69562,145000
92,064400,LG씨엔에스,69370,71600
93,034220,LG디스플레이,66550,13310
94,001040,CJ,65794,225500
95,454910,두산로보틱스,65144,100500
96,005385,현대차우,65121,279000
97,241560,두산밥캣,62785,65500
98,021240,코웨이,62776,87300
99,052690,한전기술,62413,163300
100,001440,대한전선,61341,32900
101,011070,LG이노텍,60587,256000
102,022100,포스코DX,58533,38500
103,088350,한화생명,57322,6600
104,088980,맥쿼리인프라,56656,11830
105,271560,오리온,55152,139500
106,004020,현대제철,51977,38950
107,002380,KCC,51808,583000
108,018880,한온시스템,50748,4945
109,036570,엔씨소프트,49982,232000
110,251270,넷마블,49251,57300
111,082740,한화엔진,47898,57400
112,450080,에코프로머티,47274,67000
113,066970,엘앤에프,46154,114700
114,062040,산일전기,45695,149600
115,031210,서울보증보험,43289,62000
116,017800,현대엘리베이터,43079,110200
117,036460,한국가스공사,42094,45600
118,011790,SKC,42033,111000
119,051900,LG생활건강,41775,273000
120,035250,강원랜드,41483,19390
121,000990,DB하이텍,40459,93000
122,001720,신영증권,39949,243000
123,302440,SK바이오사이언스,38982,49700
124,111770,영원무역,38462,86800
125,004990,롯데지주,38239,36450
126,011780,금호석유화학,37876,145500
127,011170,롯데케미칼,36444,85200
128,014680,한솔케미칼,34969,308500
129,012750,에스원,34959,92000
130,139130,iM금융지주,34775,21650
131,001450,현대해상,34687,38800
132,103590,일진전기,34381,72100
133,004170,신세계,33902,351500
134,097950,CJ제일제당,33269,221000
135,000240,한국앤컴퍼니,32895,34650
136,047040,대우건설,32418,7800
137,103140,풍산,32311,115300
138,000120,CJ대한통운,31663,138800
139,439260,대한조선,31398,81500
140,023530,롯데쇼핑,31032,109700
141,489790,한화비전,30797,61000
142,00680K,미래에셋증권2우B,30752,22500
143,071970,HD현대마린엔진,30597,90200
144,139480,이마트,30548,110700
145,009970,영원무역홀딩스,30440,225500
146,457190,이수스페셜티케미컬,29639,98100
147,012510,더존비즈온,29167,96000
148,026960,동서,29112,29200
149,008930,한미사이언스,29100,42550
150,353200,대덕전자,28859,58400
151,009420,한올바이오파마,28784,55100
152,028670,팬오션,28599,5350
153,010060,OCI홀딩스,28453,152400
154,005850,에스엘,28380,61100
155,051600,한전KPS,28260,62800
156,204320,HL만도,28080,59800
157,004800,효성,28073,167700
158,081660,미스토홀딩스,27660,52100
159,003690,코리안리,27391,14060
160,023590,다우기술,27009,60200
161,004370,농심,26915,442500
162,383220,F&F,26891,70200
163,002790,아모레퍼시픽홀딩스,26856,33800
164,001430,세아베스틸지주,26645,74300
165,030000,제일기획,25826,22450
166,003540,대신증권,24878,49000
167,097230,HJ중공업,24244,26850
168,069960,현대백화점,24099,106500
169,336260,두산퓨얼셀,24068,36750
170,282330,BGF리테일,23678,137000
171,011210,현대위아,23496,86400
172,020150,롯데에너지머티리얼즈,23171,44250
173,018670,SK가스,22697,245500
174,005440,현대지에프홀딩스,22356,14340
175,192820,코스맥스,22108,194800
176,085620,미래에셋생명,21950,12400
177,361610,SK아이이테크놀로지,21714,26550
178,000155,두산우,21580,540000
179,483650,달바글로벌,21290,171800
180,073240,금호타이어,20251,7050
181,006280,녹십자,20170,172600
182,112610,씨에스윈드,20157,47800
183,069620,대웅제약,20044,173000
184,003530,한화투자증권,19952,9300
185,017960,한국카본,19854,38250
186,462870,시프트업,19811,33600
187,006040,동원산업,19734,44700
188,375500,DL이앤씨,19695,50900
189,006360,GS건설,19640,22950
190,032350,롯데관광개발,19343,24300
191,003570,SNT다이내믹스,19153,57600
192,030610,교보증권,19054,16720
193,008770,호텔신라,18897,48150
194,034230,파라다이스,18850,20400
195,007070,GS리테일,18811,22500
196,001120,LX인터내셔널,18488,47700
197,007340,DN오토모티브,18372,31400
198,005070,코스모신소재,17653,54300
199,161890,한국콜마,17090,72400
200,298020,효성티앤씨,17029,393500
201,120110,코오롱인더,17006,61800
202,395400,SK리츠,16676,5540
203,003090,대웅,16192,27850
204,007310,오뚜기,16051,400500
205,020560,아시아나항공,15943,7740
206,294870,HDC현대산업개발,15850,24050
207,001800,오리온홀딩스,15630,24950
208,000500,가온전선,14872,89900
209,077970,STX엔진,14814,36900
210,007810,코리아써키트,14196,60100
211,000815,삼성화재우,14009,452000
212,012630,HDC,13889,23250
213,181710,NHN,13887,42400
214,082640,동양생명,13683,8480
215,229640,LS에코에너지,13674,44650
216,300720,한일시멘트,13657,18570
217,185750,종근당,13305,96400
218,330590,롯데리츠,13234,4580
219,005300,롯데칠성,13176,142000
220,004000,롯데정밀화학,12900,50000
221,484870,엠앤씨솔루션,12815,140000
222,000080,하이트진로,12617,17990
223,280360,롯데웰푸드,12533,134700
224,051915,LG화학우,12471,162200
225,001740,SK네트웍스,12413,5610
226,415640,KB발해인프라,12266,10010
227,003240,태광산업,12213,1097000
228,089860,롯데렌탈,12181,33550
229,100090,SK오션플랜트,11689,18710
230,499790,GS피앤엘,11640,58700
231,192080,더블유게임즈,11560,54600
232,003470,유안타증권,11516,5770
233,249420,일동제약,11437,36150
234,006120,SK디스커버리,11430,62300
235,298050,HS효성첨단소재,11401,254500
236,075580,세진중공업,11369,20000
237,036530,SNT홀딩스,11265,69100
238,285130,SK케미칼,11140,64400
239,009240,한샘,11108,47200
240,137310,에스디바이오센서,11103,9120
241,000670,영풍,11099,61400
242,006650,대한유화,10978,168900
243,365550,ESR켄달스퀘어리츠,10938,4445
244,000370,한화손해보험,10856,9300
245,071055,한국금융지주우,10732,183200
246,071320,지역난방공사,10675,92200
247,000210,DL,10519,50200
248,192400,쿠쿠홀딩스,10366,29150
249,003160,디아이,10301,36400
250,005690,파미셀,10274,17120
251,100840,SNT에너지,10195,49300
252,475150,SK이터닉스,10143,30050
253,030190,NICE평가정보,9956,16900
254,009450,경동나비엔,9950,68300
255,281820,케이씨텍,9827,47500
256,195870,해성디에스,9809,57700
257,079160,CJ CGV,9785,5910
258,057050,현대홈쇼핑,9768,81400
259,010780,아이에스동서,9674,32050
260,322000,HD현대에너지솔루션,9665,86300
261,066575,LG전자우,9606,55900
262,00088K,한화3우B,9605,49500
263,064960,SNT모티브,9594,36150
264,004490,세방전지,9591,69200
265,033240,자화전자,9344,42950
266,001270,부국증권,9198,88700
267,108320,LX세미콘,9156,56300
268,001060,JW중외제약,9093,39050
269,317450,명인제약,9037,61900
270,002350,넥센타이어,9034,9250
271,093370,후성,8923,8320
272,003850,보령,8878,10350
273,001510,SK증권,8832,1869
274,451800,한화리츠,8746,4870
275,003620,KG모빌리티,8651,4275
276,248070,솔루엠,8573,17930
277,079900,전진건설로봇,8551,58600
278,007700,F&F홀딩스,8429,21550
279,001500,현대차증권,8427,13630
280,130660,한전산업,8329,25550
281,069260,TKG휴켐스,8318,20350
282,014820,동원시스템즈,8291,28600
283,002020,코오롱,8273,64100
284,114090,GKL,8257,13350
285,214320,이노션,8160,20400
286,005180,빙그레,8151,85300
287,001680,대상,8107,23400
288,000400,롯데손해보험,7835,2525
289,00104K,CJ4우(전환),7823,185100
290,003545,대신증권우,7748,29800
291,017940,E1,7717,112500
292,025540,한국단자,7707,76200
293,000640,동아쏘시오홀딩스,7693,117700
294,005250,녹십자홀딩스,7660,16290
295,039130,하나투어,7659,49450
296,456040,OCI,7627,85200
297,016610,DB증권,7449,17550
298,005880,대한해운,7439,2305
299,381970,케이카,7376,15110
300,002840,미원상사,7248,152600
301,293940,신한알파리츠,7195,5950
302,383800,LX홀딩스,7193,9430
303,0120G0,삼양바이오팜,7101,95500
304,950210,프레스티지바이오파마,7067,11760
305,268280,미원에스씨,7030,140600
306,058650,세아홀딩스,6965,161500
307,008730,율촌화학,6956,28050
308,093050,LF,6812,23300
309,090460,비에이치,6776,20100
310,005090,SGC에너지,6642,46100
311,019170,신풍제약,6623,12500
312,005420,코스모화학,6548,17050
313,002240,고려제강,6547,24250
314,336370,솔루스첨단소재,6438,9170
315,004690,삼천리,6398,157800
316,006220,제주은행,6357,16820
317,003030,세아제강지주,6340,153100
318,001570,금양,6332,9900
319,016380,KG스틸,6240,6240
320,006380,카프로,6185,3660
321,005389,현대차3우B,6179,265500
322,002960,한국쉘석유,6136,472000
323,094800,맵스리얼티,6052,6520
324,016590,신대양제지,6020,14940
325,002030,아세아,5979,288500
326,377740,바이오노트,5970,5850
327,005810,풍산홀딩스,5925,41100
328,284740,쿠쿠홈시스,5901,26300
329,178920,PI첨단소재,5873,20000
330,029530,신도리코,5866,58200
331,192650,드림텍,5757,8350
332,090435,아모레퍼시픽우,5754,54500
333,001200,유진투자증권,5753,5940
334,452260,한화갤러리아,5680,2930
335,000070,삼양홀딩스,5558,71600
336,105840,우진,5513,27300
337,145720,덴티움,5512,49800
338,034310,NICE,5476,14900
339,005945,NH투자증권우,5472,29000
340,014830,유니드,5468,80800
341,271940,일진하이솔루스,5439,14980
342,003000,부광약품,5406,5480
343,145990,삼양사,5404,52400
344,453340,현대그린푸드,5382,16400
345,161000,애경케미칼,5283,10860
346,009410,태영건설,5279,1774
347,003300,한일홀딩스,5241,17000
348,026890,스틱인베스트먼트,5180,12430
349,105630,한세실업,5180,12950
350,009290,광동제약,5179,10400
351,017810,풀무원,5119,13430
352,183190,아세아시멘트,5007,13560
353,009900,명신산업,4984,9500
354,097520,엠씨넥스,4950,28450
355,089590,제주항공,4919,6100
356,001530,DI동일,4892,24800
357,004700,조광피혁,4887,73500
358,170900,동아에스티,4882,52200
359,016800,퍼시스,4841,42100
360,006110,삼아알미늄,4839,32000
361,344820,KCC글라스,4839,30300
362,015360,INVENI,4805,84300
363,448730,삼성FN리츠,4780,5250
364,011930,신성이엔지,4775,2320
365,020000,한섬,4723,21050
366,037270,YG PLUS,4679,7350
367,003280,흥아해운,4659,1938
368,072710,농심홀딩스,4637,100000
369,084010,대한제강,4592,13360
370,001820,삼화콘덴서,4558,43850
371,091810,티웨이항공,4529,1348
372,200880,서연이화,4511,16690
373,460860,동국제강,4494,9060
374,015860,일진홀딩스,4441,9000
375,357120,코람코라이프인프라리츠,4433,4555
376,010690,화신,4431,12690
377,138490,코오롱ENP,4419,11630
378,009155,삼성전기우,4418,152000
379,005610,SPC삼립,4409,51100
380,000157,두산2우B,4384,491000
381,031430,신세계인터내셔날,4333,12260
382,060980,HL홀딩스,4311,46800
383,004310,현대약품,4278,13370
384,002310,아세아제지,4258,10520
385,029460,케이씨,4247,32100
386,002710,TCC스틸,4207,16050
387,027410,BGF,4173,4360
388,126720,수산인더스트리,4171,29200
389,018250,애경산업,4156,15740
390,194370,제이에스코퍼레이션,4137,14260
391,000650,천일고속,4030,282000
392,002810,삼영무역,4016,21750
393,217590,티엠씨,4011,16650
394,348950,제이알글로벌리츠,4006,2030
395,128820,대성산업,4003,8850
396,001390,KG케미칼,4000,5950
397,306200,세아제강,3993,140800
398,005720,넥센,3989,7450
399,403550,쏘카,3944,12010
400,008060,대덕,3910,11540
401,012030,DB,3902,1940
402,092200,디아이씨,3900,10030
403,126560,현대퓨처넷,3895,3535
404,011500,한농화성,3854,24650
405,084690,대상홀딩스,3798,10490
406,006805,미래에셋증권우,3786,26900
407,025860,남해화학,3775,7600
408,011760,현대코퍼레이션,3757,28400
409,272450,진에어,3721,7130
410,000540,흥국화재,3700,5760
411,092230,KPX홀딩스,3692,87400
412,034830,한국토지신탁,3678,1457
413,286940,롯데이노베이트,3661,24200
414,007690,국도화학,3658,39500
415,123890,한국자산신탁,3640,2975
416,001460,BYC,3622,58000
417,001940,KISCO홀딩스,3579,25250
418,417310,코람코더원리츠,3563,8820
419,024720,콜마홀딩스,3556,10370
420,003520,영진약품,3540,1936
421,475560,더본코리아,3536,23850
422,003960,사조대림,3523,38450
423,003120,일성아이에스,3504,26350
424,034120,SBS,3500,18870
425,001750,한양증권,3493,27450
426,000320,노루홀딩스,3488,26250
427,017390,서울가스,3485,69700
428,104700,한국철강,3444,9450
429,009160,SIMPAC,3425,5240
430,017860,DS단석,3400,19340
431,006405,삼성SDI우,3389,209500
432,033270,유나이티드제약,3381,20700
433,432320,KB스타리츠,3377,3330
434,002320,한진,3344,21950
435,092790,넥스틸,3320,12770
436,003200,일신방직,3287,14320
437,000490,대동,3280,11380
438,010820,퍼스텍,3277,6720
439,096760,JW홀딩스,3260,4410
440,002900,TYM,3241,7830
441,006340,대원전선,3225,4185
442,241590,화승엔터프라이즈,3199,5280
443,037710,광주신세계,3198,40200
444,007160,사조산업,3185,63700
445,244920,에이플러스에셋,3171,14030
446,004360,세방,3138,16420
447,001340,PKC,3130,6970
448,009680,모토닉,3124,11140
449,003720,삼영,3117,9170
450,030210,다올투자증권,3094,5080
451,136490,선진,3072,12920
452,009470,삼화전기,3068,46400
453,003920,남양유업,3060,51000
454,088260,이리츠코크렙,3037,4795
455,02826K,삼성물산우B,3030,206500
456,078520,에이블씨엔씨,3015,11590
457,334890,이지스밸류플러스리츠,2961,4265
458,900140,엘브이엠씨홀딩스,2956,1530
459,033530,SJG세종,2943,10580
460,033920,무학,2932,10290
461,004560,현대비앤지스틸,2908,19290
462,011690,와이투솔루션,2893,7890
463,003547,대신증권2우B,2890,28900
464,377190,디앤디플랫폼리츠,2886,3265
465,000050,경방,2875,10490
466,001230,동국홀딩스,2874,9040
467,108670,LX하우시스,2869,32000
468,035150,백산,2863,14100
469,000680,LS네트웍스,2844,3610
470,013890,지누스,2786,12520
471,058430,포스코스틸리온,2754,45900
472,008490,서흥,2718,23500
473,0030R0,대신밸류리츠,2717,4545
474,122900,아이마켓코리아,2714,8120
475,001630,종근당홀딩스,2665,53200
476,003220,대원제약,2659,11860
477,000390,삼화페인트,2646,9730
478,001130,대한제분,2641,156300
479,007860,서연,2639,11240
480,005500,삼진제약,2612,19610
481,003070,코오롱글로벌,2603,10240
482,044450,KSS해운,2599,11260
483,000430,대원강업,2591,4180
484,004980,성신양회,2586,10550
485,001790,대한제당,2578,2875
486,005010,휴스틸,2576,4585
487,035510,신세계 I&C,2575,18420
488,226320,잇츠한불,2574,11740
489,134380,미원화학,2518,114500
490,051905,LG생활건강우,2509,119500
491,013580,계룡건설,2500,28000
492,404990,신한서부티엔디리츠,2500,4230
493,210980,SK디앤디,2491,13380
494,007570,일양약품,2490,13050
495,053210,스카이라이프,2490,5240
496,003650,미창석유,2480,142600
497,028100,동아지질,2470,18450
498,000520,삼일제약,2449,11290
499,095570,AJ네트웍스,2448,5410
500,000860,강남제비스코,2442,18790
